Date,Open,High,Low,Close,Adj Close,Volume
2011-04-29,7.706667,7.811667,7.683333,7.811667,7.381727,324000
2011-05-02,7.856667,7.856667,7.621667,7.643333,7.222657,408000
2011-05-03,7.578333,7.611667,7.448333,7.556667,7.140762,462000
2011-05-04,7.673333,7.786667,7.418333,7.688333,7.265180,540000
2011-05-05,7.601667,7.901667,7.601667,7.746667,7.320304,657000
2011-05-06,7.870000,7.965000,7.715000,7.766667,7.339202,1136400
2011-05-09,7.786667,7.786667,7.575000,7.678333,7.255731,850200
2011-05-10,7.760000,7.853333,7.710000,7.795000,7.365978,319800
2011-05-11,7.803333,7.966667,7.656667,7.768333,7.340776,516000
2011-05-12,7.720000,8.016667,7.658333,7.966667,7.528196,579600
2011-05-13,7.941667,7.988333,7.735000,7.755000,7.328178,340800
2011-05-16,7.730000,7.920000,7.613333,7.630000,7.210058,306000
2011-05-17,7.550000,7.550000,7.268333,7.455000,7.044690,1131000
2011-05-18,7.551667,7.805000,7.505000,7.758333,7.331328,285600
2011-05-19,7.666667,7.666667,7.450000,7.613333,7.194310,578400
2011-05-20,7.555000,7.628333,7.438333,7.510000,7.096663,268200
2011-05-23,7.333333,7.333333,7.208333,7.245000,6.846247,492600
2011-05-24,7.318333,7.318333,7.106667,7.115000,6.723401,336000
2011-05-25,7.083333,7.250000,7.025000,7.188333,6.792700,352800
2011-05-26,7.148333,7.281667,7.110000,7.243333,6.844674,315000
2011-05-27,7.321667,7.366667,7.280000,7.316667,6.913970,123600
2011-05-31,7.416667,7.528333,7.400000,7.526667,7.112411,269400
2011-06-01,7.471667,7.483333,7.051667,7.060000,6.671431,345000
2011-06-02,7.060000,7.226667,7.031667,7.098333,6.707653,183000
2011-06-03,6.930000,7.040000,6.773333,6.806667,6.432040,452400
2011-06-06,6.818333,6.853333,6.726667,6.745000,6.373765,422400
2011-06-07,6.873333,6.981667,6.841667,6.850000,6.472988,432600
2011-06-08,6.818333,6.818333,6.550000,6.598333,6.235173,891600
2011-06-09,6.618333,6.693333,6.535000,6.610000,6.246198,695400
2011-06-10,6.578333,6.578333,6.293333,6.390000,6.038306,475200
2011-06-13,6.440000,6.463333,6.226667,6.286667,5.940660,552600
2011-06-14,6.403333,6.580000,6.403333,6.508333,6.150126,1008000
2011-06-15,6.423333,6.495000,6.258333,6.270000,5.924911,603000
2011-06-16,6.321667,6.321667,6.056667,6.148333,5.809940,670800
2011-06-17,6.281667,6.281667,5.965000,6.021667,5.690244,1167000
2011-06-20,6.006667,6.090000,5.995000,6.045000,5.712295,427200
2011-06-21,6.103333,6.326667,6.026667,6.298333,5.951684,548400
2011-06-22,6.283333,6.336667,6.208333,6.211667,5.869788,361800
2011-06-23,6.145000,6.425000,6.026667,6.416667,6.063506,819600
2011-06-24,6.371667,6.373333,6.113333,6.131667,5.794191,705600
2011-06-27,6.106667,6.261667,6.021667,6.211667,5.869788,463200
2011-06-28,6.236667,6.325000,6.201667,6.320000,5.972159,397200
2011-06-29,6.375000,6.378333,6.236667,6.308333,5.961133,402000
2011-06-30,6.335000,6.680000,6.335000,6.643333,6.277695,531600
2011-07-01,6.658333,6.931667,6.615000,6.905000,6.524961,503400
2011-07-05,6.933333,6.933333,6.751667,6.805000,6.430463,150600
2011-07-06,6.781667,6.838333,6.691667,6.801667,6.427314,150600
2011-07-07,6.953333,7.176667,6.908333,7.101667,6.710803,486600
2011-07-08,6.910000,6.968333,6.791667,6.935000,6.553309,594000
2011-07-11,6.765000,6.941667,6.668333,6.718333,6.348567,487200
2011-07-12,6.546667,6.546667,6.256667,6.311667,5.964284,1002600
2011-07-13,6.366667,6.460000,6.226667,6.290000,5.943810,814800
2011-07-14,6.320000,6.435000,6.091667,6.131667,5.794191,877800
2011-07-15,6.200000,6.206667,6.051667,6.183333,5.843014,949200
2011-07-18,6.133333,6.175000,5.948333,6.045000,5.712295,841200
2011-07-19,6.158333,6.473333,6.146667,6.451667,6.096577,727200
2011-07-20,6.511667,6.511667,6.341667,6.415000,6.061930,456000
2011-07-21,6.316667,6.483333,6.188333,6.463333,6.107602,604200
2011-07-22,6.521667,6.786667,6.521667,6.748333,6.376917,720600
2011-07-25,6.640000,6.691667,6.500000,6.590000,6.227298,414000
2011-07-26,6.650000,6.785000,6.615000,6.633333,6.268245,456600
2011-07-27,6.503333,6.503333,6.175000,6.231667,5.888687,868800
2011-07-28,6.213333,6.396667,6.105000,6.216667,5.874513,709200
2011-07-29,6.083333,6.271667,6.028333,6.116667,5.780016,788400
2011-08-01,6.283333,6.333333,5.933333,6.106667,5.770567,895800
2011-08-02,6.000000,6.075000,5.751667,5.755000,5.438254,957000
2011-08-03,5.806667,5.961667,5.595000,5.930000,5.603624,1048200
2011-08-04,5.748333,5.793333,5.280000,5.286667,4.995698,1180200
2011-08-05,5.370000,5.460000,4.841667,5.131667,4.849228,809400
2011-08-08,4.811667,5.021667,4.656667,4.656667,4.400373,2149800
2011-08-09,4.820000,4.990000,4.451667,4.990000,4.715359,1203600
2011-08-10,4.865000,5.061667,4.650000,4.753333,4.491718,616200
2011-08-11,4.863333,5.316667,4.833333,5.180000,4.894902,1013400
2011-08-12,5.301667,5.333333,5.103333,5.148333,4.864979,786600
2011-08-15,5.166667,5.335000,5.165000,5.331667,5.038221,1141800
2011-08-16,5.185000,5.316667,5.041667,5.151667,4.868127,293400
2011-08-17,5.116667,5.313333,4.991667,5.105000,4.824030,862200
2011-08-18,4.828333,4.828333,4.506667,4.571667,4.320051,799200
